Checkpoint 1: 480; Time: 86.66151189804077 s
Checkpoint 2: 960; Time: 169.32755136489868 s
Checkpoint 3: 1440; Time: 255.94082307815552 s
Checkpoint 4: 1920; Time: 363.0587148666382 s
Checkpoint 5: 2400; Time: 468.0260190963745 s
Checkpoint 6: 2880; Time: 573.9900381565094 s
Checkpoint 7: 3360; Time: 679.9776482582092 s
Checkpoint 8: 3840; Time: 785.8245511054993 s
Checkpoint 9: 4320; Time: 891.7226128578186 s
Checkpoint 10: 4800; Time: 996.6671154499054 s
Checkpoint 11: 5280; Time: 1102.823895931244 s
Checkpoint 12: 5760; Time: 1208.7686870098114 s
Checkpoint 13: 6240; Time: 1314.8257508277893 s
Checkpoint 14: 6720; Time: 1398.901796579361 s
Checkpoint 15: 7200; Time: 1481.2739388942719 s
Checkpoint 16: 7680; Time: 1564.1657269001007 s
Checkpoint 17: 8160; Time: 1646.5989747047424 s
Checkpoint 18: 8640; Time: 1728.8846635818481 s
Checkpoint 19: 9120; Time: 1811.567958831787 s
Checkpoint 20: 9600; Time: 1893.9128651618958 s
